algorithm,objective,dims,seed,win,clicks,time_ms,guesses,completion,time_per_click_ms,completion_per_click,guess_rate
scip_solver,MinRotation,2x2x2,2,True,4,111,1,100.0,27.75,25.0,0.25
scip_solver,MaxInformation,2x2x2,2,True,4,119,1,100.0,29.75,25.0,0.25
greedy,MinDistance,2x2x2,3,False,5,0,5,85.0,0.0,17.0,1.0
greedy,MinRotation,2x2x2,3,False,5,0,5,85.0,0.0,17.0,1.0
greedy,MaxInformation,2x2x2,3,False,5,0,5,85.0,0.0,17.0,1.0
exact_solver,MinDistance,2x2x2,3,False,4,1,2,75.0,0.25,18.75,0.5
exact_solver,MinRotation,2x2x2,3,False,4,1,2,75.0,0.25,18.75,0.5
exact_solver,MaxInformation,2x2x2,3,True,8,3,4,100.0,0.375,12.5,0.5
global_sat,MinDistance,2x2x2,3,True,8,3,2,100.0,0.375,12.5,0.25
global_sat,MinRotation,2x2x2,3,True,8,2,2,100.0,0.25,12.5,0.25
global_sat,MaxInformation,2x2x2,3,True,8,3,2,100.0,0.375,12.5,0.25
partitioned_sat,MinDistance,2x2x2,3,True,8,3,2,100.0,0.375,12.5,0.25
partitioned_sat,MinRotation,2x2x2,3,True,8,3,2,100.0,0.375,12.5,0.25
partitioned_sat,MaxInformation,2x2x2,3,True,8,3,2,100.0,0.375,12.5,0.25
scip_solver,MinDistance,2x2x2,3,False,4,202,2,75.0,50.5,18.75,0.5
scip_solver,MinRotation,2x2x2,3,False,4,166,2,75.0,41.5,18.75,0.5
scip_solver,MaxInformation,2x2x2,3,True,8,314,2,100.0,39.25,12.5,0.25
greedy,MinDistance,2x2x2,4,False,3,0,3,80.0,0.0,26.666666666666668,1.0
greedy,MinRotation,2x2x2,4,False,3,0,3,80.0,0.0,26.666666666666668,1.0
greedy,MaxInformation,2x2x2,4,False,3,0,3,80.0,0.0,26.666666666666668,1.0
exact_solver,MinDistance,2x2x2,4,False,6,2,2,95.0,0.3333333333333333,15.833333333333334,0.3333333333333333
exact_solver,MinRotation,2x2x2,4,False,6,2,2,95.0,0.3333333333333333,15.833333333333334,0.3333333333333333
exact_solver,MaxInformation,2x2x2,4,True,6,2,2,100.0,0.3333333333333333,16.666666666666668,0.3333333333333333
global_sat,MinDistance,2x2x2,4,True,6,1,1,100.0,0.16666666666666666,16.666666666666668,0.16666666666666666
global_sat,MinRotation,2x2x2,4,True,6,1,1,100.0,0.16666666666666666,16.666666666666668,0.16666666666666666
global_sat,MaxInformation,2x2x2,4,True,6,1,1,100.0,0.16666666666666666,16.666666666666668,0.16666666666666666
partitioned_sat,MinDistance,2x2x2,4,True,6,2,1,100.0,0.3333333333333333,16.666666666666668,0.16666666666666666
partitioned_sat,MinRotation,2x2x2,4,True,6,2,1,100.0,0.3333333333333333,16.666666666666668,0.16666666666666666
partitioned_sat,MaxInformation,2x2x2,4,True,6,2,1,100.0,0.3333333333333333,16.666666666666668,0.16666666666666666
scip_solver,MinDistance,2x2x2,4,True,6,205,1,100.0,34.166666666666664,16.666666666666668,0.16666666666666666
scip_solver,MinRotation,2x2x2,4,True,6,211,1,100.0,35.166666666666664,16.666666666666668,0.16666666666666666
scip_solver,MaxInformation,2x2x2,4,True,6,202,1,100.0,33.666666666666664,16.666666666666668,0.16666666666666666
greedy,MinDistance,2x2x2,5,False,2,0,2,80.0,0.0,40.0,1.0
greedy,MinRotation,2x2x2,5,False,2,0,2,80.0,0.0,40.0,1.0
greedy,MaxInformation,2x2x2,5,False,2,0,2,80.0,0.0,40.0,1.0
exact_solver,MinDistance,2x2x2,5,True,5,1,1,100.0,0.2,20.0,0.2
exact_solver,MinRotation,2x2x2,5,True,5,1,1,100.0,0.2,20.0,0.2
exact_solver,MaxInformation,2x2x2,5,True,5,1,1,100.0,0.2,20.0,0.2
global_sat,MinDistance,2x2x2,5,True,5,1,1,100.0,0.2,20.0,0.2
global_sat,MinRotation,2x2x2,5,True,5,1,1,100.0,0.2,20.0,0.2
global_sat,MaxInformation,2x2x2,5,True,5,1,1,100.0,0.2,20.0,0.2
partitioned_sat,MinDistance,2x2x2,5,True,6,2,1,100.0,0.3333333333333333,16.666666666666668,0.16666666666666666
partitioned_sat,MinRotation,2x2x2,5,True,5,1,1,100.0,0.2,20.0,0.2
partitioned_sat,MaxInformation,2x2x2,5,True,5,1,1,100.0,0.2,20.0,0.2
scip_solver,MinDistance,2x2x2,5,True,5,187,1,100.0,37.4,20.0,0.2
scip_solver,MinRotation,2x2x2,5,True,6,267,1,100.0,44.5,16.666666666666668,0.16666666666666666
scip_solver,MaxInformation,2x2x2,5,True,5,185,1,100.0,37.0,20.0,0.2
greedy,MinDistance,2x2x2,6,False,4,0,4,90.0,0.0,22.5,1.0
greedy,MinRotation,2x2x2,6,False,4,0,4,90.0,0.0,22.5,1.0
greedy,MaxInformation,2x2x2,6,False,4,0,4,90.0,0.0,22.5,1.0
exact_solver,MinDistance,2x2x2,6,True,5,1,3,100.0,0.2,20.0,0.6
exact_solver,MinRotation,2x2x2,6,False,4,0,3,90.0,0.0,22.5,0.75
exact_solver,MaxInformation,2x2x2,6,False,3,0,3,85.0,0.0,28.333333333333332,1.0
global_sat,MinDistance,2x2x2,6,False,2,0,2,80.0,0.0,40.0,1.0
global_sat,MinRotation,2x2x2,6,False,2,0,2,80.0,0.0,40.0,1.0
global_sat,MaxInformation,2x2x2,6,False,2,0,2,80.0,0.0,40.0,1.0
partitioned_sat,MinDistance,2x2x2,6,False,2,0,2,80.0,0.0,40.0,1.0
partitioned_sat,MinRotation,2x2x2,6,False,2,0,2,80.0,0.0,40.0,1.0
partitioned_sat,MaxInformation,2x2x2,6,False,2,0,2,80.0,0.0,40.0,1.0
scip_solver,MinDistance,2x2x2,6,True,5,159,2,100.0,31.8,20.0,0.4
scip_solver,MinRotation,2x2x2,6,True,5,151,2,100.0,30.2,20.0,0.4
scip_solver,MaxInformation,2x2x2,6,True,5,150,2,100.0,30.0,20.0,0.4
greedy,MinDistance,2x2x2,7,False,5,0,5,75.0,0.0,15.0,1.0
greedy,MinRotation,2x2x2,7,False,5,0,5,75.0,0.0,15.0,1.0
greedy,MaxInformation,2x2x2,7,False,5,0,5,75.0,0.0,15.0,1.0
exact_solver,MinDistance,2x2x2,7,True,5,1,2,100.0,0.2,20.0,0.4
exact_solver,MinRotation,2x2x2,7,False,4,0,2,70.0,0.0,17.5,0.5
exact_solver,MaxInformation,2x2x2,7,True,5,1,2,100.0,0.2,20.0,0.4
global_sat,MinDistance,2x2x2,7,True,7,3,1,100.0,0.42857142857142855,14.285714285714286,0.14285714285714285
global_sat,MinRotation,2x2x2,7,True,7,2,1,100.0,0.2857142857142857,14.285714285714286,0.14285714285714285
global_sat,MaxInformation,2x2x2,7,True,9,3,1,100.0,0.3333333333333333,11.11111111111111,0.1111111111111111
partitioned_sat,MinDistance,2x2x2,7,True,7,3,1,100.0,0.42857142857142855,14.285714285714286,0.14285714285714285
partitioned_sat,MinRotation,2x2x2,7,True,5,2,1,100.0,0.4,20.0,0.2
partitioned_sat,MaxInformation,2x2x2,7,True,9,5,1,100.0,0.5555555555555556,11.11111111111111,0.1111111111111111
scip_solver,MinDistance,2x2x2,7,True,7,301,1,100.0,43.0,14.285714285714286,0.14285714285714285
scip_solver,MinRotation,2x2x2,7,True,6,259,1,100.0,43.166666666666664,16.666666666666668,0.16666666666666666
scip_solver,MaxInformation,2x2x2,7,True,7,293,1,100.0,41.857142857142854,14.285714285714286,0.14285714285714285
greedy,MinDistance,2x2x2,8,False,2,0,2,90.0,0.0,45.0,1.0
greedy,MinRotation,2x2x2,8,False,2,0,2,90.0,0.0,45.0,1.0
greedy,MaxInformation,2x2x2,8,False,2,0,2,90.0,0.0,45.0,1.0
exact_solver,MinDistance,2x2x2,8,True,4,1,1,100.0,0.25,25.0,0.25
exact_solver,MinRotation,2x2x2,8,True,4,1,1,100.0,0.25,25.0,0.25
exact_solver,MaxInformation,2x2x2,8,True,4,1,1,100.0,0.25,25.0,0.25
global_sat,MinDistance,2x2x2,8,True,4,0,1,100.0,0.0,25.0,0.25
global_sat,MinRotation,2x2x2,8,True,4,0,1,100.0,0.0,25.0,0.25
global_sat,MaxInformation,2x2x2,8,True,4,0,1,100.0,0.0,25.0,0.25
partitioned_sat,MinDistance,2x2x2,8,True,4,0,1,100.0,0.0,25.0,0.25
partitioned_sat,MinRotation,2x2x2,8,True,4,0,1,100.0,0.0,25.0,0.25
partitioned_sat,MaxInformation,2x2x2,8,True,4,1,1,100.0,0.25,25.0,0.25
scip_solver,MinDistance,2x2x2,8,True,4,103,1,100.0,25.75,25.0,0.25
scip_solver,MinRotation,2x2x2,8,True,4,108,1,100.0,27.0,25.0,0.25
scip_solver,MaxInformation,2x2x2,8,True,4,106,1,100.0,26.5,25.0,0.25
greedy,MinDistance,2x2x2,9,False,2,0,2,90.0,0.0,45.0,1.0
greedy,MinRotation,2x2x2,9,False,2,0,2,90.0,0.0,45.0,1.0
greedy,MaxInformation,2x2x2,9,False,2,0,2,90.0,0.0,45.0,1.0
exact_solver,MinDistance,2x2x2,9,True,4,1,1,100.0,0.25,25.0,0.25
exact_solver,MinRotation,2x2x2,9,True,4,1,1,100.0,0.25,25.0,0.25
exact_solver,MaxInformation,2x2x2,9,True,4,1,1,100.0,0.25,25.0,0.25
global_sat,MinDistance,2x2x2,9,True,4,0,1,100.0,0.0,25.0,0.25
global_sat,MinRotation,2x2x2,9,True,4,0,1,100.0,0.0,25.0,0.25
global_sat,MaxInformation,2x2x2,9,True,4,0,1,100.0,0.0,25.0,0.25
partitioned_sat,MinDistance,2x2x2,9,True,4,1,1,100.0,0.25,25.0,0.25
partitioned_sat,MinRotation,2x2x2,9,True,4,0,1,100.0,0.0,25.0,0.25
partitioned_sat,MaxInformation,2x2x2,9,True,4,1,1,100.0,0.25,25.0,0.25
scip_solver,MinDistance,2x2x2,9,True,4,108,1,100.0,27.0,25.0,0.25
scip_solver,MinRotation,2x2x2,9,True,4,103,1,100.0,25.75,25.0,0.25
scip_solver,MaxInformation,2x2x2,9,True,4,103,1,100.0,25.75,25.0,0.25
greedy,MinDistance,2x2x2,10,True,2,0,2,100.0,0.0,50.0,1.0
greedy,MinRotation,2x2x2,10,True,2,0,2,100.0,0.0,50.0,1.0
greedy,MaxInformation,2x2x2,10,True,2,0,2,100.0,0.0,50.0,1.0
exact_solver,MinDistance,2x2x2,10,True,4,0,2,100.0,0.0,25.0,0.5
exact_solver,MinRotation,2x2x2,10,False,4,0,2,50.0,0.0,12.5,0.5
exact_solver,MaxInformation,2x2x2,10,True,4,0,2,100.0,0.0,25.0,0.5
global_sat,MinDistance,2x2x2,10,True,3,1,1,100.0,0.3333333333333333,33.333333333333336,0.3333333333333333
global_sat,MinRotation,2x2x2,10,True,6,3,1,100.0,0.5,16.666666666666668,0.16666666666666666
global_sat,MaxInformation,2x2x2,10,True,3,1,1,100.0,0.3333333333333333,33.333333333333336,0.3333333333333333
partitioned_sat,MinDistance,2x2x2,10,True,3,1,1,100.0,0.3333333333333333,33.333333333333336,0.3333333333333333
partitioned_sat,MinRotation,2x2x2,10,True,10,7,1,100.0,0.7,10.0,0.1
partitioned_sat,MaxInformation,2x2x2,10,True,3,1,1,100.0,0.3333333333333333,33.333333333333336,0.3333333333333333
scip_solver,MinDistance,2x2x2,10,True,3,144,1,100.0,48.0,33.333333333333336,0.3333333333333333
scip_solver,MinRotation,2x2x2,10,True,8,453,1,100.0,56.625,12.5,0.125
scip_solver,MaxInformation,2x2x2,10,True,3,136,1,100.0,45.333333333333336,33.333333333333336,0.3333333333333333
greedy,MinDistance,2x2x2,11,False,3,0,3,95.0,0.0,31.666666666666668,1.0
greedy,MinRotation,2x2x2,11,False,3,0,3,95.0,0.0,31.666666666666668,1.0
greedy,MaxInformation,2x2x2,11,False,3,0,3,95.0,0.0,31.666666666666668,1.0
exact_solver,MinDistance,2x2x2,11,False,3,0,2,95.0,0.0,31.666666666666668,0.6666666666666666
exact_solver,MinRotation,2x2x2,11,False,3,0,2,95.0,0.0,31.666666666666668,0.6666666666666666
exact_solver,MaxInformation,2x2x2,11,False,3,0,2,95.0,0.0,31.666666666666668,0.6666666666666666
global_sat,MinDistance,2x2x2,11,True,3,0,1,100.0,0.0,33.333333333333336,0.3333333333333333
global_sat,MinRotation,2x2x2,11,True,3,0,1,100.0,0.0,33.333333333333336,0.3333333333333333
global_sat,MaxInformation,2x2x2,11,True,3,0,1,100.0,0.0,33.333333333333336,0.3333333333333333
partitioned_sat,MinDistance,2x2x2,11,True,3,0,1,100.0,0.0,33.333333333333336,0.3333333333333333
partitioned_sat,MinRotation,2x2x2,11,True,3,0,1,100.0,0.0,33.333333333333336,0.3333333333333333
partitioned_sat,MaxInformation,2x2x2,11,True,3,0,1,100.0,0.0,33.333333333333336,0.3333333333333333
scip_solver,MinDistance,2x2x2,11,True,3,64,1,100.0,21.333333333333332,33.333333333333336,0.3333333333333333
scip_solver,MinRotation,2x2x2,11,True,3,60,1,100.0,20.0,33.333333333333336,0.3333333333333333
scip_solver,MaxInformation,2x2x2,11,True,3,66,1,100.0,22.0,33.333333333333336,0.3333333333333333
greedy,MinDistance,2x2x2,12,True,1,0,1,100.0,0.0,100.0,1.0
greedy,MinRotation,2x2x2,12,True,1,0,1,100.0,0.0,100.0,1.0
greedy,MaxInformation,2x2x2,12,True,1,0,1,100.0,0.0,100.0,1.0
exact_solver,MinDistance,2x2x2,12,True,1,0,1,100.0,0.0,100.0,1.0
exact_solver,MinRotation,2x2x2,12,True,1,0,1,100.0,0.0,100.0,1.0
exact_solver,MaxInformation,2x2x2,12,True,1,0,1,100.0,0.0,100.0,1.0
global_sat,MinDistance,2x2x2,12,True,1,0,1,100.0,0.0,100.0,1.0
global_sat,MinRotation,2x2x2,12,True,1,0,1,100.0,0.0,100.0,1.0
global_sat,MaxInformation,2x2x2,12,True,1,0,1,100.0,0.0,100.0,1.0
partitioned_sat,MinDistance,2x2x2,12,True,1,0,1,100.0,0.0,100.0,1.0
partitioned_sat,MinRotation,2x2x2,12,True,1,0,1,100.0,0.0,100.0,1.0
partitioned_sat,MaxInformation,2x2x2,12,True,1,0,1,100.0,0.0,100.0,1.0
scip_solver,MinDistance,2x2x2,12,True,1,0,1,100.0,0.0,100.0,1.0
scip_solver,MinRotation,2x2x2,12,True,1,0,1,100.0,0.0,100.0,1.0
scip_solver,MaxInformation,2x2x2,12,True,1,0,1,100.0,0.0,100.0,1.0
greedy,MinDistance,2x2x2,13,False,3,0,3,95.0,0.0,31.666666666666668,1.0
greedy,MinRotation,2x2x2,13,False,3,0,3,95.0,0.0,31.666666666666668,1.0
greedy,MaxInformation,2x2x2,13,False,3,0,3,95.0,0.0,31.666666666666668,1.0
exact_solver,MinDistance,2x2x2,13,False,3,0,2,95.0,0.0,31.666666666666668,0.6666666666666666
exact_solver,MinRotation,2x2x2,13,False,3,0,2,95.0,0.0,31.666666666666668,0.6666666666666666
exact_solver,MaxInformation,2x2x2,13,False,3,0,2,95.0,0.0,31.666666666666668,0.6666666666666666
global_sat,MinDistance,2x2x2,13,True,3,0,1,100.0,0.0,33.333333333333336,0.3333333333333333
global_sat,MinRotation,2x2x2,13,True,3,0,1,100.0,0.0,33.333333333333336,0.3333333333333333
global_sat,MaxInformation,2x2x2,13,True,3,0,1,100.0,0.0,33.333333333333336,0.3333333333333333
partitioned_sat,MinDistance,2x2x2,13,True,3,0,1,100.0,0.0,33.333333333333336,0.3333333333333333
partitioned_sat,MinRotation,2x2x2,13,True,3,0,1,100.0,0.0,33.333333333333336,0.3333333333333333
partitioned_sat,MaxInformation,2x2x2,13,True,3,0,1,100.0,0.0,33.333333333333336,0.3333333333333333
scip_solver,MinDistance,2x2x2,13,True,3,63,1,100.0,21.0,33.333333333333336,0.3333333333333333
scip_solver,MinRotation,2x2x2,13,True,3,72,1,100.0,24.0,33.333333333333336,0.3333333333333333
scip_solver,MaxInformation,2x2x2,13,True,3,71,1,100.0,23.666666666666668,33.333333333333336,0.3333333333333333
greedy,MinDistance,2x2x2,14,False,6,0,6,90.0,0.0,15.0,1.0
greedy,MinRotation,2x2x2,14,False,6,0,6,90.0,0.0,15.0,1.0
greedy,MaxInformation,2x2x2,14,False,6,0,6,90.0,0.0,15.0,1.0
exact_solver,MinDistance,2x2x2,14,False,2,0,2,70.0,0.0,35.0,1.0
exact_solver,MinRotation,2x2x2,14,False,2,0,2,70.0,0.0,35.0,1.0
exact_solver,MaxInformation,2x2x2,14,False,4,1,4,80.0,0.25,20.0,1.0
global_sat,MinDistance,2x2x2,14,True,7,2,1,100.0,0.2857142857142857,14.285714285714286,0.14285714285714285
global_sat,MinRotation,2x2x2,14,True,7,1,1,100.0,0.14285714285714285,14.285714285714286,0.14285714285714285
global_sat,MaxInformation,2x2x2,14,True,7,2,1,100.0,0.2857142857142857,14.285714285714286,0.14285714285714285
partitioned_sat,MinDistance,2x2x2,14,True,7,2,1,100.0,0.2857142857142857,14.285714285714286,0.14285714285714285
partitioned_sat,MinRotation,2x2x2,14,True,7,1,1,100.0,0.14285714285714285,14.285714285714286,0.14285714285714285
partitioned_sat,MaxInformation,2x2x2,14,True,7,2,1,100.0,0.2857142857142857,14.285714285714286,0.14285714285714285
scip_solver,MinDistance,2x2x2,14,True,7,252,1,100.0,36.0,14.285714285714286,0.14285714285714285
scip_solver,MinRotation,2x2x2,14,True,7,243,1,100.0,34.714285714285715,14.285714285714286,0.14285714285714285
scip_solver,MaxInformation,2x2x2,14,True,7,243,1,100.0,34.714285714285715,14.285714285714286,0.14285714285714285
greedy,MinDistance,2x2x2,15,True,4,0,4,100.0,0.0,25.0,1.0
greedy,MinRotation,2x2x2,15,True,4,0,4,100.0,0.0,25.0,1.0
greedy,MaxInformation,2x2x2,15,True,4,0,4,100.0,0.0,25.0,1.0
exact_solver,MinDistance,2x2x2,15,False,3,0,2,90.0,0.0,30.0,0.6666666666666666
exact_solver,MinRotation,2x2x2,15,False,3,0,2,90.0,0.0,30.0,0.6666666666666666
exact_solver,MaxInformation,2x2x2,15,True,4,1,3,100.0,0.25,25.0,0.75
global_sat,MinDistance,2x2x2,15,True,4,0,1,100.0,0.0,25.0,0.25
global_sat,MinRotation,2x2x2,15,True,4,0,1,100.0,0.0,25.0,0.25
global_sat,MaxInformation,2x2x2,15,True,4,0,1,100.0,0.0,25.0,0.25
partitioned_sat,MinDistance,2x2x2,15,True,4,0,1,100.0,0.0,25.0,0.25
partitioned_sat,MinRotation,2x2x2,15,True,4,0,1,100.0,0.0,25.0,0.25
partitioned_sat,MaxInformation,2x2x2,15,True,4,0,1,100.0,0.0,25.0,0.25
scip_solver,MinDistance,2x2x2,15,True,4,101,1,100.0,25.25,25.0,0.25
scip_solver,MinRotation,2x2x2,15,True,4,110,1,100.0,27.5,25.0,0.25
scip_solver,MaxInformation,2x2x2,15,True,4,113,1,100.0,28.25,25.0,0.25
greedy,MinDistance,2x2x2,16,False,1,0,1,95.0,0.0,95.0,1.0
greedy,MinRotation,2x2x2,16,False,1,0,1,95.0,0.0,95.0,1.0
greedy,MaxInformation,2x2x2,16,False,1,0,1,95.0,0.0,95.0,1.0
exact_solver,MinDistance,2x2x2,16,False,2,0,2,95.0,0.0,47.5,1.0
exact_solver,MinRotation,2x2x2,16,True,2,0,2,100.0,0.0,50.0,1.0
exact_solver,MaxInformation,2x2x2,16,False,2,0,2,95.0,0.0,47.5,1.0
global_sat,MinDistance,2x2x2,16,True,2,0,1,100.0,0.0,50.0,0.5
global_sat,MinRotation,2x2x2,16,True,2,0,1,100.0,0.0,50.0,0.5
global_sat,MaxInformation,2x2x2,16,True,2,0,1,100.0,0.0,50.0,0.5
partitioned_sat,MinDistance,2x2x2,16,True,2,0,1,100.0,0.0,50.0,0.5
partitioned_sat,MinRotation,2x2x2,16,True,2,0,1,100.0,0.0,50.0,0.5
partitioned_sat,MaxInformation,2x2x2,16,True,2,0,1,100.0,0.0,50.0,0.5
scip_solver,MinDistance,2x2x2,16,True,2,33,1,100.0,16.5,50.0,0.5
scip_solver,MinRotation,2x2x2,16,True,2,29,1,100.0,14.5,50.0,0.5
scip_solver,MaxInformation,2x2x2,16,True,2,28,1,100.0,14.0,50.0,0.5
greedy,MinDistance,2x2x2,17,False,5,0,5,80.0,0.0,16.0,1.0
greedy,MinRotation,2x2x2,17,False,5,0,5,80.0,0.0,16.0,1.0
greedy,MaxInformation,2x2x2,17,False,3,0,3,80.0,0.0,26.666666666666668,1.0
exact_solver,MinDistance,2x2x2,17,True,5,1,1,100.0,0.2,20.0,0.2
exact_solver,MinRotation,2x2x2,17,True,6,2,1,100.0,0.3333333333333333,16.666666666666668,0.16666666666666666
exact_solver,MaxInformation,2x2x2,17,True,5,1,1,100.0,0.2,20.0,0.2
global_sat,MinDistance,2x2x2,17,True,6,2,1,100.0,0.3333333333333333,16.666666666666668,0.16666666666666666
global_sat,MinRotation,2x2x2,17,True,5,1,1,100.0,0.2,20.0,0.2
global_sat,MaxInformation,2x2x2,17,True,8,4,1,100.0,0.5,12.5,0.125
partitioned_sat,MinDistance,2x2x2,17,True,6,2,1,100.0,0.3333333333333333,16.666666666666668,0.16666666666666666
partitioned_sat,MinRotation,2x2x2,17,True,6,2,1,100.0,0.3333333333333333,16.666666666666668,0.16666666666666666
partitioned_sat,MaxInformation,2x2x2,17,True,8,4,1,100.0,0.5,12.5,0.125
scip_solver,MinDistance,2x2x2,17,True,5,191,1,100.0,38.2,20.0,0.2
scip_solver,MinRotation,2x2x2,17,True,5,191,1,100.0,38.2,20.0,0.2
scip_solver,MaxInformation,2x2x2,17,True,6,245,1,100.0,40.833333333333336,16.666666666666668,0.16666666666666666
greedy,MinDistance,2x2x2,18,False,2,0,2,90.0,0.0,45.0,1.0
greedy,MinRotation,2x2x2,18,False,2,0,2,90.0,0.0,45.0,1.0
greedy,MaxInformation,2x2x2,18,False,2,0,2,90.0,0.0,45.0,1.0
exact_solver,MinDistance,2x2x2,18,False,2,0,2,85.0,0.0,42.5,1.0
exact_solver,MinRotation,2x2x2,18,False,2,0,2,85.0,0.0,42.5,1.0
exact_solver,MaxInformation,2x2x2,18,False,4,0,4,95.0,0.0,23.75,1.0
global_sat,MinDistance,2x2x2,18,False,3,0,2,90.0,0.0,30.0,0.6666666666666666
global_sat,MinRotation,2x2x2,18,False,3,0,2,90.0,0.0,30.0,0.6666666666666666
global_sat,MaxInformation,2x2x2,18,False,3,0,2,90.0,0.0,30.0,0.6666666666666666
partitioned_sat,MinDistance,2x2x2,18,False,3,0,2,90.0,0.0,30.0,0.6666666666666666
partitioned_sat,MinRotation,2x2x2,18,False,3,0,2,90.0,0.0,30.0,0.6666666666666666
partitioned_sat,MaxInformation,2x2x2,18,False,3,0,2,90.0,0.0,30.0,0.6666666666666666
scip_solver,MinDistance,2x2x2,18,True,4,103,2,100.0,25.75,25.0,0.5
scip_solver,MinRotation,2x2x2,18,False,3,79,2,90.0,26.333333333333332,30.0,0.6666666666666666
scip_solver,MaxInformation,2x2x2,18,True,4,106,2,100.0,26.5,25.0,0.5
greedy,MinDistance,2x2x2,19,False,5,0,5,80.0,0.0,16.0,1.0
greedy,MinRotation,2x2x2,19,False,5,0,5,80.0,0.0,16.0,1.0
greedy,MaxInformation,2x2x2,19,False,5,0,5,80.0,0.0,16.0,1.0
exact_solver,MinDistance,2x2x2,19,False,3,0,2,65.0,0.0,21.666666666666668,0.6666666666666666
exact_solver,MinRotation,2x2x2,19,False,3,0,2,65.0,0.0,21.666666666666668,0.6666666666666666
