algorithm,objective,dims,win,clicks,time_ms,guesses,completion
Exact Solver,N/A,3x3x3x3,FALSE,43,32,16,84.50704225352112
Exact Solver,N/A,3x3x3x3,FALSE,63,28,7,87.32394366197182
Exact Solver,N/A,3x3x3x3,FALSE,8,1,7,9.859154929577464
Exact Solver,N/A,3x3x3x3,FALSE,4,0,3,4.225352112676056
Exact Solver,N/A,3x3x3x3,FALSE,68,61,25,94.36619718309859
Exact Solver,N/A,3x3x3x3,TRUE,71,68,28,100
Exact Solver,N/A,3x3x3x3,FALSE,5,1,4,5.633802816901409
Exact Solver,N/A,3x3x3x3,FALSE,52,28,12,90.14084507042254
Exact Solver,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
Exact Solver,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Exact Solver,N/A,3x3x3x3,FALSE,4,0,3,4.225352112676056
Exact Solver,N/A,3x3x3x3,FALSE,63,44,11,92.95774647887323
Exact Solver,N/A,3x3x3x3,FALSE,3,0,2,2.8169014084507045
Exact Solver,N/A,3x3x3x3,FALSE,27,20,7,92.95774647887323
Exact Solver,N/A,3x3x3x3,TRUE,71,49,15,100
Exact Solver,N/A,3x3x3x3,FALSE,3,0,2,2.8169014084507045
Exact Solver,N/A,3x3x3x3,FALSE,39,22,21,53.52112676056338
Exact Solver,N/A,3x3x3x3,FALSE,54,33,8,87.32394366197182
Exact Solver,N/A,3x3x3x3,FALSE,22,7,15,29.577464788732392
Exact Solver,N/A,3x3x3x3,FALSE,54,61,22,94.36619718309859
Exact Solver,N/A,3x3x3x3,FALSE,4,0,3,4.225352112676056
Exact Solver,N/A,3x3x3x3,FALSE,65,35,12,90.14084507042254
Exact Solver,N/A,3x3x3x3,TRUE,71,69,27,100
Exact Solver,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Exact Solver,N/A,3x3x3x3,FALSE,55,32,8,88.73239436619718
Exact Solver,N/A,3x3x3x3,FALSE,7,1,6,8.450704225352112
Exact Solver,N/A,3x3x3x3,TRUE,57,57,24,100
Exact Solver,N/A,3x3x3x3,FALSE,43,24,10,83.09859154929578
Exact Solver,N/A,3x3x3x3,FALSE,46,29,7,91.54929577464789
Exact Solver,N/A,3x3x3x3,FALSE,69,39,6,95.77464788732394
Exact Solver,N/A,3x3x3x3,FALSE,4,1,3,4.225352112676056
Exact Solver,N/A,3x3x3x3,FALSE,33,20,9,74.64788732394366
Exact Solver,N/A,3x3x3x3,FALSE,3,1,2,2.8169014084507045
Exact Solver,N/A,3x3x3x3,FALSE,38,30,10,90.14084507042254
Exact Solver,N/A,3x3x3x3,FALSE,45,30,19,71.83098591549296
Exact Solver,N/A,3x3x3x3,TRUE,71,52,15,100
Exact Solver,N/A,3x3x3x3,FALSE,58,32,9,80.28169014084507
Exact Solver,N/A,3x3x3x3,FALSE,4,0,3,4.225352112676056
Exact Solver,N/A,3x3x3x3,TRUE,26,18,7,100
Exact Solver,N/A,3x3x3x3,FALSE,48,15,3,77.46478873239437
Exact Solver,N/A,3x3x3x3,FALSE,65,52,12,90.14084507042254
Exact Solver,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
Exact Solver,N/A,3x3x3x3,FALSE,38,37,9,92.95774647887323
Exact Solver,N/A,3x3x3x3,FALSE,5,0,4,5.633802816901409
Exact Solver,N/A,3x3x3x3,FALSE,8,1,7,9.859154929577464
Exact Solver,N/A,3x3x3x3,TRUE,49,57,14,100
Exact Solver,N/A,3x3x3x3,FALSE,45,35,12,92.95774647887323
Exact Solver,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Exact Solver,N/A,3x3x3x3,TRUE,32,32,12,100
Exact Solver,N/A,3x3x3x3,FALSE,52,23,5,84.50704225352112
Exact Solver,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
Exact Solver,N/A,3x3x3x3,FALSE,10,4,9,32.3943661971831
Exact Solver,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
Exact Solver,N/A,3x3x3x3,TRUE,61,29,9,100
Exact Solver,N/A,3x3x3x3,FALSE,6,0,5,7.042253521126761
Exact Solver,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Exact Solver,N/A,3x3x3x3,FALSE,3,0,2,2.8169014084507045
Exact Solver,N/A,3x3x3x3,FALSE,50,20,6,88.73239436619718
Exact Solver,N/A,3x3x3x3,TRUE,41,36,13,100
Exact Solver,N/A,3x3x3x3,FALSE,53,12,5,91.54929577464789
Exact Solver,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
Exact Solver,N/A,3x3x3x3,FALSE,4,1,3,4.225352112676056
Exact Solver,N/A,3x3x3x3,FALSE,14,2,13,18.30985915492958
Exact Solver,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Exact Solver,N/A,3x3x3x3,FALSE,48,28,7,97.1830985915493
Exact Solver,N/A,3x3x3x3,FALSE,38,31,11,97.1830985915493
Exact Solver,N/A,3x3x3x3,TRUE,50,37,12,100
Exact Solver,N/A,3x3x3x3,FALSE,61,58,10,98.59154929577466
Exact Solver,N/A,3x3x3x3,TRUE,37,28,7,100
Exact Solver,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
Exact Solver,N/A,3x3x3x3,FALSE,62,60,26,98.59154929577466
Exact Solver,N/A,3x3x3x3,FALSE,7,1,6,8.450704225352112
Exact Solver,N/A,3x3x3x3,FALSE,61,47,34,84.50704225352112
Exact Solver,N/A,3x3x3x3,FALSE,33,36,13,90.14084507042254
Exact Solver,N/A,3x3x3x3,FALSE,44,34,14,90.14084507042254
Exact Solver,N/A,3x3x3x3,FALSE,9,1,8,11.267605633802818
Exact Solver,N/A,3x3x3x3,FALSE,23,16,7,90.14084507042254
Exact Solver,N/A,3x3x3x3,FALSE,45,40,11,97.1830985915493
Exact Solver,N/A,3x3x3x3,TRUE,59,66,23,100
Exact Solver,N/A,3x3x3x3,FALSE,53,35,13,80.28169014084507
Exact Solver,N/A,3x3x3x3,FALSE,49,45,18,90.14084507042254
Exact Solver,N/A,3x3x3x3,FALSE,9,1,8,11.267605633802818
Exact Solver,N/A,3x3x3x3,TRUE,71,58,13,100
Exact Solver,N/A,3x3x3x3,FALSE,3,0,2,2.8169014084507045
Exact Solver,N/A,3x3x3x3,FALSE,69,61,24,95.77464788732394
Exact Solver,N/A,3x3x3x3,FALSE,60,41,13,91.54929577464789
Exact Solver,N/A,3x3x3x3,FALSE,30,22,8,95.77464788732394
Exact Solver,N/A,3x3x3x3,FALSE,15,3,14,19.718309859154928
Exact Solver,N/A,3x3x3x3,FALSE,62,37,14,94.36619718309859
Exact Solver,N/A,3x3x3x3,FALSE,49,36,15,85.91549295774648
Exact Solver,N/A,3x3x3x3,FALSE,66,56,15,91.54929577464789
Exact Solver,N/A,3x3x3x3,FALSE,59,37,9,97.1830985915493
Exact Solver,N/A,3x3x3x3,FALSE,8,1,7,9.859154929577464
Exact Solver,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
Exact Solver,N/A,3x3x3x3,FALSE,48,27,8,92.95774647887323
SAT Solver,N/A,3x3x3x3,FALSE,8,1,7,9.859154929577464
SAT Solver,N/A,3x3x3x3,TRUE,38,94,6,100
SAT Solver,N/A,3x3x3x3,TRUE,51,130,3,100
SAT Solver,N/A,3x3x3x3,TRUE,71,306,11,100
SAT Solver,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
SAT Solver,N/A,3x3x3x3,TRUE,54,135,2,100
SAT Solver,N/A,3x3x3x3,TRUE,58,199,11,100
SAT Solver,N/A,3x3x3x3,TRUE,57,157,7,100
SAT Solver,N/A,3x3x3x3,TRUE,55,154,14,100
SAT Solver,N/A,3x3x3x3,FALSE,4,0,3,4.225352112676056
SAT Solver,N/A,3x3x3x3,FALSE,43,128,18,83.09859154929578
SAT Solver,N/A,3x3x3x3,FALSE,6,1,5,7.042253521126761
SAT Solver,N/A,3x3x3x3,TRUE,71,221,8,100
SAT Solver,N/A,3x3x3x3,TRUE,71,245,12,100
SAT Solver,N/A,3x3x3x3,TRUE,71,278,21,100
SAT Solver,N/A,3x3x3x3,FALSE,4,0,3,4.225352112676056
SAT Solver,N/A,3x3x3x3,TRUE,39,122,11,100
SAT Solver,N/A,3x3x3x3,FALSE,4,0,3,4.225352112676056
SAT Solver,N/A,3x3x3x3,TRUE,59,200,7,100
SAT Solver,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
SAT Solver,N/A,3x3x3x3,TRUE,70,206,13,100
SAT Solver,N/A,3x3x3x3,TRUE,54,137,7,100
SAT Solver,N/A,3x3x3x3,TRUE,51,137,8,100
SAT Solver,N/A,3x3x3x3,FALSE,3,0,2,2.8169014084507045
SAT Solver,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
SAT Solver,N/A,3x3x3x3,TRUE,41,88,6,100
SAT Solver,N/A,3x3x3x3,TRUE,71,236,11,100
SAT Solver,N/A,3x3x3x3,FALSE,10,6,9,12.676056338028168
SAT Solver,N/A,3x3x3x3,TRUE,50,156,6,100
SAT Solver,N/A,3x3x3x3,FALSE,21,31,5,91.54929577464789
SAT Solver,N/A,3x3x3x3,FALSE,6,1,5,7.042253521126761
SAT Solver,N/A,3x3x3x3,TRUE,52,136,6,100
SAT Solver,N/A,3x3x3x3,TRUE,57,188,2,100
SAT Solver,N/A,3x3x3x3,TRUE,50,124,9,100
SAT Solver,N/A,3x3x3x3,FALSE,22,72,7,57.74647887323944
SAT Solver,N/A,3x3x3x3,FALSE,3,0,2,2.8169014084507045
SAT Solver,N/A,3x3x3x3,FALSE,5,1,4,5.633802816901409
SAT Solver,N/A,3x3x3x3,TRUE,71,254,10,100
SAT Solver,N/A,3x3x3x3,FALSE,21,45,10,66.19718309859155
SAT Solver,N/A,3x3x3x3,TRUE,70,203,6,100
SAT Solver,N/A,3x3x3x3,TRUE,67,193,19,100
SAT Solver,N/A,3x3x3x3,FALSE,5,1,4,5.633802816901409
SAT Solver,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
SAT Solver,N/A,3x3x3x3,FALSE,4,0,3,4.225352112676056
SAT Solver,N/A,3x3x3x3,TRUE,51,146,9,100
SAT Solver,N/A,3x3x3x3,TRUE,35,76,4,100
SAT Solver,N/A,3x3x3x3,FALSE,36,89,14,88.73239436619718
SAT Solver,N/A,3x3x3x3,FALSE,4,0,3,4.225352112676056
SAT Solver,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
SAT Solver,N/A,3x3x3x3,FALSE,44,152,12,71.83098591549296
SAT Solver,N/A,3x3x3x3,TRUE,62,197,5,100
SAT Solver,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
SAT Solver,N/A,3x3x3x3,FALSE,4,1,3,4.225352112676056
SAT Solver,N/A,3x3x3x3,TRUE,22,49,5,100
SAT Solver,N/A,3x3x3x3,FALSE,7,2,6,8.450704225352112
SAT Solver,N/A,3x3x3x3,FALSE,3,0,2,2.8169014084507045
SAT Solver,N/A,3x3x3x3,TRUE,71,231,12,100
SAT Solver,N/A,3x3x3x3,FALSE,8,10,7,9.859154929577464
SAT Solver,N/A,3x3x3x3,FALSE,5,0,4,5.633802816901409
SAT Solver,N/A,3x3x3x3,TRUE,51,115,17,100
SAT Solver,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
SAT Solver,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
SAT Solver,N/A,3x3x3x3,TRUE,24,34,8,100
SAT Solver,N/A,3x3x3x3,FALSE,2,1,1,1.4084507042253522
SAT Solver,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
SAT Solver,N/A,3x3x3x3,FALSE,3,1,2,2.8169014084507045
SAT Solver,N/A,3x3x3x3,TRUE,42,99,10,100
SAT Solver,N/A,3x3x3x3,TRUE,71,218,6,100
SAT Solver,N/A,3x3x3x3,FALSE,9,2,8,11.267605633802818
SAT Solver,N/A,3x3x3x3,FALSE,57,179,24,85.91549295774648
SAT Solver,N/A,3x3x3x3,TRUE,58,178,4,100
SAT Solver,N/A,3x3x3x3,TRUE,71,212,7,100
SAT Solver,N/A,3x3x3x3,TRUE,67,194,7,100
SAT Solver,N/A,3x3x3x3,FALSE,6,1,5,7.042253521126761
SAT Solver,N/A,3x3x3x3,FALSE,3,0,2,2.8169014084507045
SAT Solver,N/A,3x3x3x3,TRUE,71,255,5,100
SAT Solver,N/A,3x3x3x3,TRUE,50,138,5,100
SAT Solver,N/A,3x3x3x3,TRUE,54,155,7,100
SAT Solver,N/A,3x3x3x3,TRUE,71,261,10,100
SAT Solver,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
SAT Solver,N/A,3x3x3x3,TRUE,35,107,4,100
SAT Solver,N/A,3x3x3x3,TRUE,71,222,9,100
SAT Solver,N/A,3x3x3x3,TRUE,70,221,4,100
SAT Solver,N/A,3x3x3x3,FALSE,57,178,14,87.32394366197182
SAT Solver,N/A,3x3x3x3,TRUE,69,234,6,100
SAT Solver,N/A,3x3x3x3,FALSE,37,118,2,81.69014084507043
SAT Solver,N/A,3x3x3x3,FALSE,11,3,10,14.084507042253522
SAT Solver,N/A,3x3x3x3,FALSE,62,177,11,97.1830985915493
SAT Solver,N/A,3x3x3x3,TRUE,71,240,13,100
SAT Solver,N/A,3x3x3x3,FALSE,4,1,3,4.225352112676056
SAT Solver,N/A,3x3x3x3,FALSE,6,2,5,7.042253521126761
SAT Solver,N/A,3x3x3x3,TRUE,70,240,7,100
SAT Solver,N/A,3x3x3x3,TRUE,12,14,5,100
SAT Solver,N/A,3x3x3x3,TRUE,64,204,11,100
SAT Solver,N/A,3x3x3x3,TRUE,71,249,11,100
SAT Solver,N/A,3x3x3x3,FALSE,7,1,6,8.450704225352112
SAT Solver,N/A,3x3x3x3,TRUE,43,134,3,100
SAT Solver,N/A,3x3x3x3,FALSE,2,0,1,1.4084507042253522
SAT Solver,N/A,3x3x3x3,FALSE,4,0,3,4.225352112676056
SAT Solver,N/A,3x3x3x3,TRUE,24,42,5,100
